Unnamed: 0,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
38,Warner's Women's Blissful Benefits No Muffin Top 3 Pack Brief Panty,$11.20,$11.96,https://www.amazon.com/Warners-Womens-Blissful-Benefits-Muffin/dp/B076DV9S8K/ref=sr_1_41?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-41,https://m.media-amazon.com/images/I/81CzZ+n6wBL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
39,"iPhone Charger, MFi Certified 5Pack 3/3/6/6/10FT Lightning Cable Fast Charging High Speed Data Sync Long Cord Compatible iPhone 11Pro Max/11Pro/11/XS/Max/XR/X/8/8P/7 and More",$11.97,0,https://www.amazon.com/Charger-Certified-Lightning-Charging-Compatible/dp/B08KS14PX3/ref=sr_1_42?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-42,https://m.media-amazon.com/images/I/71glRt9Q6nL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
40,Magna-Tiles Clear Colors 100 Piece Set,$119.00,0,https://www.amazon.com/Magna-Tiles-100-Piece-Clear-Colors-Award-Winning/dp/B000CBSNRY/ref=sr_1_43?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-43,https://m.media-amazon.com/images/I/81KjOtFRJ0L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
41,"Bedsure Satin Pillowcase for Hair and Skin, 2-Pack - Queen Size (20x30 inches) Pillow Cases - Satin Pillow Covers with Envelope Closure, Taupe",$9.99,$15.99,https://www.amazon.com/Bedsure-Satin-Pillowcase-Hair-2-Pack/dp/B0756T976B/ref=sr_1_44?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-44,https://m.media-amazon.com/images/I/61ljxj+CTuL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
42,Amazon Essentials Men's Regular-fit Quick-Dry Golf Polo Shirt,$15.70,0,https://www.amazon.com/Amazon-Essentials-Regular-Fit-Quick-Dry-Shirt/dp/B01IXFRBQE/ref=sr_1_45?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-45,https://m.media-amazon.com/images/I/91brb-aPV6L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
43,"ZonLi Adults Weighted Blanket 20 lbs(60''x80'', Grey, Queen Size), Cooling Weighted Blanket for Adult, 100% Cotton Material with Glass Beads",$64.99,0,https://www.amazon.com/ZonLi-Weighted-Blanket-Cooling-180-220/dp/B075W94KB3/ref=sr_1_46?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-46,https://m.media-amazon.com/images/I/61rABE9s5ZL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
44,"SAMSUNG 870 QVO SATA III 2.5"" SSD 1TB (MZ-77Q1T0B)",$109.99,$129.99,https://www.amazon.com/SAMSUNG-870-QVO-SATA-MZ-77Q1T0B/dp/B089C73T72/ref=sr_1_47?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-47,https://m.media-amazon.com/images/I/91S1PIX+yWL._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
45,Playtex Womens 18 Hour Sensational Sleek Wirefree Full Coverage Bra #4803,$16.99,$36.00,https://www.amazon.com/Playtex-Sensational-Wirefree-Coverage-4803/dp/B00CZ7TXEK/ref=sr_1_48?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-48,https://m.media-amazon.com/images/I/61M4yiOD42L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
46,"AUKEY True Wireless Earbuds, Bluetooth 5 Headphones with Wireless Charging Case, in-Ear Detection, 30H Playtime, IPX5 Water Resistance, Type-C Low Latency Stereo Earphones for iPhones and Android",$45.99,$49.99,https://www.amazon.com/AUKEY-Bluetooth-Headphones-Detection-Resistance/dp/B08HVQKLM3/ref=sr_1_49?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-49,https://m.media-amazon.com/images/I/713DgW6TR3L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
47,GIGALUMI Solar Lights Outdoor Garden Led Light Landscape/Pathway Lights Stainless Steel-12 Pack…,$17.99,$18.99,https://www.amazon.com/GIGALUMI-Outdoor-Landscape-Stainless-Steel-12/dp/B01K1SETD4/ref=sr_1_50?dchild=1&keywords=lightning+deals&qid=1609292780&sr=8-50,https://m.media-amazon.com/images/I/61nsF9OYA6L._AC_UL320_.jpg,Amazon,2020-12-29T20:46:20,https://www.amazon.com/s?k=lightning+deals
